Feature,Normalized
STU vR,0.1142632568193438
PBABIP vL,0.10815555253645502
CON vR.1,0.08232187982106674
CON vL.1,0.06902311334199586
STU vL,0.06853203261932206
STM,0.06655233968951597
VELO,0.0474397618016251
CH,0.04265663734277846
CT,0.042119142173024954
MOV vR,0.04133930862389859
HRR vR,0.04097899860058229
MOV vL,0.039364008107777765
PBABIP vR,0.03890240327773149
FB,0.03866566117401335
SL,0.034426240012542936
HRR vL,0.03166531618430291
CB,0.030388371054158533
SI,0.02319914041314656
PIT,0.021971167582676115
KN,0.010758010112343286
SP,0.005111661831534949
FO,0.0015769637568475306
KC,0.00041467087737386693
SC,0.00013520348373985324
CC,3.915876220192042e-05
