Position,Current Player,Current Value,Current Price,Upgrade Player,Upgrade Value,Upgrade Price,Value_vs_Price
SUB_C,White Sox Live 1 - Hardware Heroes C Carlton Fisk CWS 1985,77.53042847949047,980,Immortal Seasons 1 C Ernie Lombardi CIN 1938,85.72957962765076,6800,1.205757521788279
C,Phillies Live 2 - Hardware Heroes C Darren Daulton PHI 1992,87.53655810400798,5500,Mets Live 2 - Hardware Heroes C Gary Carter NYM 1985,91.27341995916854,9850,0.379376838087366
SUB3,NL West Live 1 - Hardware Heroes CF Steve Finley SD 1996,84.85521452502269,4899,Immortal Seasons 1 CF Brady Anderson BAL 1996,86.9701660452419,9841,0.2149122569067379
LF,MLB 2025 Live DH Shohei Ohtani LAD,87.75673842792298,36500,Hall of Fame 1 RF Tony Oliva MIN 1964,92.25883373445323,35000,0.12863129447229288
DH,Braves Live 1 - Hardware Heroes RF Tommy Holmes BSN 1945,86.497666472972,5555,Rivalry Week - Snapshot 3B Jimmy Collins BSN 1898,88.98929469677017,25000,0.09966512895192692
2B,Braves Live 2 - Historical All-Star 2B Marcus Giles ATL 2003,85.33406357768777,4800,Launch Deck Mission - Hall of Fame 2B Rod Carew MIN 1975,88.35428070059717,42500,0.0710639323037506
CF,April Standouts - Baseball Reference 1 RF Cody Bellinger LAD 2019,91.65195843967332,72727,Theme Week - Hardware Heroes LF Carl Yastrzemski BOS 1967,99.71898278193125,158500,0.050896052632542106
SUB2,Pre-Order Bonus - Hall of Fame RF Dave Winfield SD Peak,84.81558353394233,11998,Opening Day Roster - Future Legend RF Dylan Crews WSH 2025,89.186144239129,99000,0.04414707783016845
SUB1,Opening Day Roster - Future Legend 2B Kristian Campbell BOS 2025,83.87669675901128,27500,Future Legend 1 RF Roman Anthony BOS 2025,86.78859407164592,69000,0.04220141032803821
1B,Theme Week - Historical All-Star 1B Harmon Killebrew MIN 1967,90.978151345895,14000,Immortal Seasons 1 3B Al Rosen CLE 1953,93.94202060929456,105000,0.028227326318091037
3B,April Standouts - Baseball Reference 1 3B Albert Pujols STL 2001,90.94222258492997,87900,Hardware Heroes 3B Frank Baker PHA 1913,91.67201544839168,75000,0.00973057151282281
